ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
71646702;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646670;0;0;0;0;0.828;377.735;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646764;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646733;0;0;0;0;0.835;381.145;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646858;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646801;0;0;0;0;0.828;377.735;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646921;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646888;0;0;0;0;0.825;376.591;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71646983;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71646952;0;0;0;0;0.83;378.875;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647077;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647018;0;0;0;0;0.838;382.275;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647139;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647107;0;0;0;0;0.828;377.735;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647202;40.4;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647170;0;0;0;0;0.838;382.275;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647264;40.3;25.8;0;0;0;24.6;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647233;0;0;0;0;0.84;383.4;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647358;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647301;0;0;0;0;0.835;381.145;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
